120250929EIN 66XXXXXXX       PTP4XXXXXXXXXXXXX                                    
5Placetopay     2025092900000980001110524                                       
6     654968M000000002509261092400000023625                                     
6     77544ZM000000002509280004330000018900                                     
6     067750V000000002509290015740000018900                                     
6     056017V000000002509271101320000008400                                     
6     004989M000000002509261092260000008400                                     
6     00269CV000000002509280002990000008400                                     
6     06067CV000000002509280002960000008400                                     
6     76676CV000000002509290016000000012496                                     
6     17515PM000000002509290004520000012496                                     
6     11427CV000000002509271098220000012496                                     
6     078921M000000002509290008520000012496                                     
6     07260IV000000002509280000550000012496                                     
6     05090CV000000002509261093810000021176                                     
6     S71577V000000002509290005180000007810                                     
6     092543M000000002509290009200000001210                                     
6     01269DV000000002509271104430000014560                                     
6     09950CV000000002509290005160000014560                                     
6     71975BM000000002509261092180000014560                                     
6     508965V000000002509280003280000014560                                     
6     855714W000000002509261091500000001000                                     
6     071483V000000002509261095400000007280                                     
6     162360M000000002509290157980000007280                                     
6     241277V000000002509271098200000007280                                     
6     947360V000000002509290204120000007280                                     
6     02311CV000000002509280002660000007280                                     
6     00386DV000000002509261091720000007280                                     
6     163850M000000002509290204390000007280                                     
6     162000V000000002509261092650000007280                                     
6     486348V000000002509261091660000006520                                     
6     858570W000000002509261096670000020000                                     
6     050487M000000002509261091850000020000                                     
6     045653M000000002509261092800000028992                                     
6     856607W000000002509261093380000002133                                     
6     857587W000000002509261095250000012978                                     
6     299515V000000002509261096640000002500                                     
6     859535W000000002509271097100000003310                                     
6     061008V000000002509271097860000006000                                     
6     120890V000000002509271098020000002305                                     
6     083922M000000002509271098120000002030                                     
6     112991V000000002509271098730000006260                                     
6     819612V000000002509271099000000014548                                     
6     01595DV000000002509280000810000006248                                     
6     407912X000000002509290008760000006248                                     
6     074180D000000002509271099480000006248                                     
6     052648X000000002509271102680000006248                                     
6     08659DD000000002509271099500000004350                                     
6     02752PX000000002509271100610000008106                                     
6     862215W000000002509271101420000003727                                     
6     165504D000000002509271101430000004970                                     
6     094190V000000002509271101460000004800                                     
6     073296V000000002509271101500000006885                                     
6     036368V000000002509271103420000002000                                     
6     034123M000000002509271101880000002000                                     
6     079630V000000002509271102710000002352                                     
6     110201V000000002509271102870000001252                                     
6     08776PM000000002509271103490000010920                                     
6     863831S000000002509271104010000003220                                     
6     017048M000000002509271104190000016275                                     
6     083048M000000002509280000460000003500                                     
6     03958DV000000002509280000620000006270                                     
6     028171V000000002509280000680000008725                                     
6     041129V000000002509280000730000002060                                     
6     866170W000000002509280000740000006498                                     
6     866201W000000002509280000760000006904                                     
6     496359V000000002509280000820000010000                                     
6     062334V000000002509280000950000003990                                     
6     064045M000000002509280001500000026554                                     
6     041788V000000002509280001670000016600                                     
6     867197S000000002509280001780000007500                                     
6     106485V000000002509280002570000012553                                     
6     052091M000000002509280002460000004125                                     
6     073267M000000002509280002860000004080                                     
6     008715V000000002509280002930000003090                                     
6     06926DV000000002509280004200000034580                                     
6     818192M000000002509280004210000005385                                     
6     869983W000000002509290004700000009397                                     
6     073274M000000002509290005220000200929                                     
6     R07696M000000002509290006380000007365                                     
6     131223V000000002509290006460000015620                                     
6     030034V000000002509290007660000001530                                     
6     002635V000000002509290008010000006330                                     
6     104204V000000002509290008210000002177                                     
6     872348W000000002509290008920000002800                                     
6     092933M000000002509290009370000001650                                     
6     095686V000000002509290009510000011500                                     
6     872818W000000002509290009710000002426                                     
6     872921C000000002509290010000000077520                                     
6     08206IV000000002509290010350000011670                                     
6     873559W000000002509290012530000003930                                     
6     873568W000000002509290012580000001400                                     
6     873893W000000002509290013920000002880                                     
6     031184V000000002509290015300000000625                                     
6     371268V000000002509290204410000004709                                     
6     007094M000000002509290208430000026250                                     
6     08633DV000000002509290210560000019338                                     
6     558295V000000002509290211190000005300                                     
6     011130M000000002509290211800000002958                                     
6     054930M000000002509290212560000001200                                     
9      00000980001110524                                                        
7Ptop Returns   202509290000001000000008685                                     
8250924013851        20250924R01Insufficient fu000000868582843020250927W        
9      00000010000008685                                                        
